Security Code,Security Name,Security Group,Open,High ,Low,LTP,No. of Shares Traded ,Total Turnover,No. of Trades
500440,HINDALCO,A,240.05,252,240.05,250.7,2632983,6481.43,6010
500228,JSWSTEEL,A,250.8,257.95,250.25,257.2,2471402,6329.60,2268
500086,EXIDEIND,A,205,206.85,205,205.4,2340445,4825.52,1937
533278,COALINDIA,A,274,278,273.55,276.45,1345237,3720.31,2636
532174,ICICIBANK,A,271.5,274.4,270.75,272.25,1341313,3652.33,4175
532155,GAIL,A,431.6,456.55,431.6,452.3,1011695,4525.75,7313
530965,IOC,A,406.75,418.55,405.35,415.25,914192,3789.30,4526
500113,SAIL,A,54,56.5,54,56.3,910387,508.20,1856
500295,VEDL,A,319.9,326.95,319.9,326.3,895264,2912.03,4962
500477,ASHOKLEY,A,123.05,125.2,122.75,124.85,891373,1106.16,3245
532555,NTPC,A,171.1,177.65,170.8,175.45,798606,1402.58,5198
500112,SBIN,A,251.5,257.5,251.5,256.65,768915,1968.86,5770
500104,HINDPETRO,A,435.7,447.5,435.15,444.75,716277,3144.84,4402
500470,TATASTEEL,A,664.9,693.9,664.05,691.4,629841,4315.24,8983
500875,ITC,A,265.5,267.55,264.8,266.05,587240,1559.84,2705
500103,BHEL,A,84,85.2,83.95,84.9,572881,484.53,2359
532134,BANKBARODA,A,140.1,142.5,139.75,141.9,508981,719.75,2530
524715,SUNPHARMA,A,518,532.8,516,530.4,493275,2591.80,5673
532461,PNB,A,131.8,137.5,131.8,136.85,482903,653.87,2612
532822,IDEA,A,74.2,74.3,73.35,73.8,448674,331.15,1098
532868,DLF,A,170,174.25,170,171.45,427044,736.55,2770
532955,RECLTD,A,154,156.9,154,155.55,422380,658.18,1610
500400,TATAPOWER,A,79.05,80.65,79.05,80.45,347049,278.94,1519
500312,ONGC,A,171,174.55,171,173.7,342576,593.99,2623
539437,IDFCBANK,A,56.6,57.6,56.6,57.3,335594,192.41,1132
532810,PFC,A,124.05,125.9,124.05,125.2,333525,417.55,1141
500570,TATAMOTORS,A,422.9,425.9,415.8,424.2,309894,1310.53,3608
500325,RELIANCE,A,824.9,838.9,822.65,836.85,279656,2328.35,5227
526371,NMDC,A,119.3,122.5,119.3,122.25,277159,337.07,1590
532215,AXISBANK,A,502,507.15,501.4,504.45,277030,1397.69,1640
500010,HDFC,A,1752.4,1765.2,1733.05,1740,251407,4379.11,1979
500800,TATAGLOBAL,A,210,212,208.8,209.6,240697,506.18,1515
532648,YESBANK,A,361,366.9,360,365.15,218795,798.50,3150
500049,BEL,A,168,168.35,164.5,166.2,215865,358.42,2129
500209,INFY,A,906.6,920.6,903.05,919.45,203064,1861.25,5227
500034,BAJFINANCE,A,1865,1928.5,1865,1920.35,179814,3432.28,2999
532522,PETRONET,A,240,245.6,240,244.25,179627,436.87,2732
500390,RELINFRA,A,472,478,467.5,471.65,170157,805.01,1827
500493,BHARATFORG,A,634.2,650,633.7,647.45,160443,1032.90,2417
532755,TECHM,A,460,460,447.3,455.35,141079,639.54,1808
500770,TATACHEM,A,672.25,687.9,668.6,678.45,140145,953.64,3617
532483,CANBK,A,310.1,316,310.1,315.25,136956,430.56,1460
505537,ZEEL,A,517,524.5,517,522.8,131266,685.38,1368
500480,CUMMINSIND,A,924.75,929.95,906.35,912.15,129524,1185.19,348
524804,AUROPHARMA,A,743.1,758.5,740.3,744.1,120043,894.23,2154
500547,BPCL,A,481,492,478.8,489.1,108117,523.97,1495
517334,MOTHERSUMI,A,335,343.3,335,341.35,101219,344.86,1361
532488,DIVISLAB,A,865.1,876.15,861,863.25,98950,857.34,2392
500696,HINDUNILVR,A,1190,1210,1190,1205.5,96693,1159.46,1575
532977,BAJAJ-AUTO,A,3154,3154,3135,3146.3,92803,2917.03,443
570001,TATAMTRDVR,A,240,242.4,238.05,239.2,88560,212.44,958
532898,POWERGRID,A,205.15,205.75,203.4,204.8,80002,163.95,974
500253,LICHSGFIN,A,642,663,642,662,77965,513.45,1311
500510,LT,A,1132.25,1144.55,1132.25,1142.45,76660,874.80,2614
535789,IBULHSGFIN,A,1261,1280.95,1261,1268.25,75779,965.63,967
532343,TVSMOTOR,A,653.35,666.25,652.75,659.65,65321,432.04,1007
507685,WIPRO,A,285,287,283.85,286.25,65107,186.11,652
532921,ADANIPORTS,A,389,392,387.1,388.9,62512,243.74,853
500114,TITAN,A,598.3,605,592,597,58335,349.17,1294
500425,AMBUJACEM,A,274.5,280,274.35,278.35,57829,160.75,620
500180,HDFCBANK,A,1798,1805.9,1795,1799.3,56997,1026.04,1146
532281,HCLTECH,A,887,906.8,887,904.4,55188,498.53,1131
500257,LUPIN,A,1033.05,1045,1026.05,1042.3,54137,560.45,1572
500520,M&M,A,1311,1321,1297.2,1302,54014,707.77,2106
532720,M&MFIN,A,417.1,424.75,416.05,420.2,51816,217.93,833
532296,GLENMARK,A,613.05,617,611,613.5,42912,263.35,958
511218,SRTRANSFIN,A,1074,1074,1047.4,1051.95,41341,437.15,1975
539876,CROMPTON,A,218.5,224,218.5,222.85,40980,90.86,1193
500124,DRREDDY,A,2408.9,2409.8,2370,2377.85,39694,946.08,1721
532321,CADILAHC,A,500.75,504,495.05,500.55,37270,186.16,738
512070,UPL,A,785.1,795.4,779.75,792.95,35933,282.85,997
500820,ASIANPAINT,A,1161,1169,1119.95,1158.9,35284,409.12,1050
500182,HEROMOTOCO,A,3790,3790,3682.15,3703.7,34978,1305.39,1601
532187,INDUSINDBK,A,1710,1710,1678.1,1681.55,32753,552.31,1499
500087,CIPLA,A,584.95,588.85,582.95,585,31210,182.85,533
534816,INFRATEL,A,404.05,408.65,398.5,400,30442,122.51,1705
517354,HAVELLS,A,505.9,511,505.8,509.25,29837,151.76,588
500096,DABUR,A,318,318,314.6,316,28404,89.86,461
500247,KOTAKBANK,A,1031.35,1042.2,1031.35,1037.15,26398,274.06,635
532540,TCS,A,2428,2454.05,2427.6,2445.15,24208,591.72,1015
500410,ACC,A,1692,1746,1692,1737.95,23377,405.06,1078
532454,BHARTIARTL,A,376.8,383.75,376.8,382.3,22575,86.03,403
532478,UBL,A,854,865,838.55,856.35,21219,181.55,1214
531642,MARICO,A,315,315.7,311.3,314.2,19250,60.30,281
532500,MARUTI,A,7855,7923.45,7850,7909.85,15989,1261.11,2237
500550,SIEMENS,A,1210,1236.9,1210,1224.1,14098,172.82,653
500331,PIDILITIND,A,797.1,805.4,793.1,799.3,13320,106.55,512
532978,BAJAJFINSV,A,5203,5357.25,5203,5305.4,13057,692.73,1764
